id;descripcion;modified_by;created_date;last_modified_date
1;copying;transmit Quinta value-added;2023-08-25T14:03:21;2023-08-25T15:53:22
2;Andalucía programming Expandido;Producto;2023-08-25T14:49:13;2023-08-25T07:07:06
3;indexing Ordenador;Gris;2023-08-25T05:46:37;2023-08-24T18:59:32
4;synthesizing Pa'anga Fantástico;program synergistic;2023-08-24T21:01:17;2023-08-25T09:25:39
5;solución Guinea;digital implement;2023-08-24T19:37:51;2023-08-25T06:38:13
6;calculating synthesizing withdrawal;extranet supply-chains;2023-08-25T09:43:13;2023-08-24T21:32:54
7;Account collaborative;Dinánmico expedite;2023-08-25T00:10:45;2023-08-25T07:27:23
8;payment Acero array;Contabilidad Artesanal;2023-08-24T19:53:15;2023-08-24T20:22:08
9;payment Savings;harness;2023-08-25T00:02:20;2023-08-24T20:48:45
10;Entrada Violeta invoice;Fácil;2023-08-25T04:38:04;2023-08-25T08:26:19
