id;no_dictamen;fecha_promocion;puntos_alcanzados;puntos_requeridos;puntos_excedentes;puntos_faltantes;puntos_excedentes_anterior;puntos_puesto_actual;puntos_puesto_solicitado;procede;numero_instancia;folio_homologacion;modified_by;created_date;last_modified_date
1;75505;2023-08-25;14625;91887;5317;44805;28458;75532;22015;true;95758;de;parsing;2023-08-25T02:40:40;2023-08-25T15:01:27
2;7299;2023-08-25;88232;88174;36026;78775;58351;68881;81284;false;64836;PNG;Relacciones copying Renminbi;2023-08-25T15:03:45;2023-08-24T19:37:18
3;86971;2023-08-25;16214;5164;93812;72114;45201;31833;59160;true;46099;Cine Manzana JS;incentivize Guapa;2023-08-25T04:00:58;2023-08-25T03:32:18
4;32324;2023-08-25;21351;31004;83144;32933;66052;12039;17297;true;20725;clicks-and-mort;paradigma online;2023-08-25T13:17:18;2023-08-25T09:31:39
5;96596;2023-08-25;66202;51987;25470;97964;81137;24171;97045;false;13608;Sorprendente;Buckinghamshire;2023-08-25T14:04:54;2023-08-25T06:51:03
6;33154;2023-08-25;93952;17244;22260;620;55644;35672;58998;true;6906;Adelante;Muelle drive;2023-08-24T21:11:29;2023-08-25T14:24:14
7;31970;2023-08-25;68135;7774;75560;51127;10070;84077;59148;false;62036;Programable Toa;Administrador Relacciones;2023-08-25T06:55:46;2023-08-25T04:26:01
8;41012;2023-08-24;55761;66145;32801;36728;8138;60862;68005;true;98357;Arquitecto;end-to-end Hogar Gris;2023-08-25T15:15:53;2023-08-24T21:19:00
9;53714;2023-08-25;19725;36767;91684;8486;13376;40612;95493;true;94988;Manzana Bedford;Lugar HDD generating;2023-08-25T05:53:50;2023-08-24T18:05:28
10;4357;2023-08-25;53662;54158;34027;9922;89143;64997;78053;false;46304;Marketing Bacon;generating deposit;2023-08-25T00:48:11;2023-08-25T09:25:34
