id;anio;periodo;descripcion;modified_by;created_date;last_modified_date
1;39523;46795;cultivate Rojo;Market;2023-08-25T08:03:35;2023-08-25T00:37:21
2;88899;33187;Gerente;copy withdrawal;2023-08-25T06:37:32;2023-08-25T10:29:27
3;82459;76043;amplio bricks-and-clicks;calculate optical Hormigon;2023-08-24T19:38:45;2023-08-24T22:14:57
4;20221;95515;Planificador;Avon Shilling previsión;2023-08-25T05:20:50;2023-08-25T04:06:54
5;4127;85819;Investigación Ladrillo;driver proyección hardware;2023-08-25T12:49:48;2023-08-24T22:46:59
6;26787;67186;Lempira Dollar;reboot infomediaries Electrónica;2023-08-25T09:40:08;2023-08-25T09:18:26
7;87255;15224;payment solución Loan;Entrada Central solutions;2023-08-24T23:45:26;2023-08-25T01:44:10
8;48889;13163;Avon;transition Salchichas;2023-08-24T22:07:20;2023-08-25T11:14:39
9;74665;50366;intranet Rojo;interfaces;2023-08-25T00:20:13;2023-08-25T09:07:16
10;32463;4042;enfoque;Especialista;2023-08-25T06:58:30;2023-08-25T09:44:10
