id;cve;nombre;puntaje;ranking;modified_by;created_date;last_modified_date
1;93582;Raton Buckinghamshire;39096;36029;Account Silla Mobilidad;2023-08-24T20:05:26;2023-08-24T18:02:56
2;16492;compressing bus Nacional;73599;88526;sensor Cliente;2023-08-24T23:28:56;2023-08-24T20:44:42
3;41077;Sincronizado Pequeño;68693;76808;Plaza;2023-08-25T10:37:23;2023-08-25T07:45:19
4;68467;neural Gris Bebes;65355;65042;navigate Cataluña;2023-08-24T19:18:58;2023-08-25T13:20:04
5;80822;grow;94587;26241;Guantes invoice;2023-08-24T23:46:25;2023-08-25T09:16:29
6;78878;transform;54279;9335;quantify Andalucía;2023-08-25T05:06:37;2023-08-25T02:01:21
7;69968;generación trabajo interfaces;52396;83272;En Grupo;2023-08-25T06:11:07;2023-08-24T20:25:37
8;84502;system;61227;46375;Islas maximize;2023-08-24T23:51:57;2023-08-25T16:34:20
9;10143;streamline;59940;91277;Plástico;2023-08-25T04:15:01;2023-08-24T20:44:18
10;52436;Gorro;37588;99490;feed Prolongación open-source;2023-08-24T18:45:23;2023-08-24T20:21:28
