id;clave;cve_tab_prom;nivel;descripcion;ingreso_minimo;ingreso_maximo;puntos_maximos;modified_by;created_date;last_modified_date
1;Teclado Be;26868;18309;Blanco Parafarmacia;49977;26537;79184;card web-readiness Guapa;2023-08-25T04:42:52;2023-08-24T20:44:23
2;FTP;55599;97481;en withdrawal Relacciones;14969;23949;51686;Leone Hogar;2023-08-25T13:44:44;2023-08-24T21:30:02
3;functional;71950;25586;Pizza Account;29292;58257;50616;Pequeño RAM;2023-08-24T23:18:41;2023-08-25T16:53:50
4;Dinar Ofic;25042;46650;Avon;14483;52256;47092;Librería Mónaco Dollar;2023-08-25T16:43:24;2023-08-25T14:18:12
5;Manzana In;18238;41558;Gerente Checking;753;68625;82599;dinámica;2023-08-25T15:57:52;2023-08-25T12:45:31
6;Avon;31359;84950;Solar Camiseta;7556;52331;31180;Credit Ladrillo;2023-08-25T01:17:39;2023-08-24T18:07:44
7;JSON;47489;92346;program Asociado;99438;10082;82281;Distribuido Savings Market;2023-08-25T17:46:10;2023-08-25T04:21:14
8;Bicicleta;25684;66733;deposit;20755;4459;99899;brand Koruna paradigms;2023-08-25T17:27:57;2023-08-25T05:57:02
9;Queso Quin;27159;22046;open-source;16783;91915;47246;Account Agente;2023-08-25T11:02:24;2023-08-25T09:40:53
10;productize;11199;50503;Malasia Nauru exploit;61333;91611;43425;Loan;2023-08-25T13:59:29;2023-08-25T12:42:35
