id;inicio_vigencia;fin_vigencia;descripcion;activo;modified_by;created_date;last_modified_date
1;2023-08-25;2023-08-25;visualize turn-key Public-key;true;Verde;2023-08-25T17:54:07;2023-08-24T21:49:20
2;2023-08-25;2023-08-24;Canarias;true;repurpose wireless Gorro;2023-08-24T18:57:03;2023-08-25T12:22:20
3;2023-08-25;2023-08-25;redundant por;true;invoice;2023-08-25T07:23:20;2023-08-25T05:31:10
4;2023-08-25;2023-08-25;Granito Cambridgeshire Pequeño;true;viral;2023-08-25T13:53:16;2023-08-25T09:46:26
5;2023-08-25;2023-08-25;Bulgaria;true;parsing Irak synthesizing;2023-08-25T06:59:44;2023-08-24T21:29:25
6;2023-08-25;2023-08-25;compuesto deposit;false;cross-platform Pollo Masía;2023-08-25T10:16:22;2023-08-25T13:15:03
7;2023-08-24;2023-08-25;Berkshire a;false;Madera Práctico;2023-08-24T19:26:29;2023-08-25T03:20:26
8;2023-08-25;2023-08-25;intuitive Won dynamic;false;Infraestructura;2023-08-25T06:52:35;2023-08-25T05:30:17
9;2023-08-25;2023-08-25;EXE deposit Papelería;true;payment Somali;2023-08-25T03:20:33;2023-08-25T02:10:27
10;2023-08-25;2023-08-25;withdrawal Inversor;true;Cambridgeshire;2023-08-25T13:20:50;2023-08-25T16:40:27
